Facility Name,State,Latitude,Longitude,Total
3M CO - DECATUR, AL,34.641512,-87.035275,31
3M COTTAGE GROVE CENTER, MN,44.789444,-92.908333,67
ADVANCED POLYMER INC., NJ,40.818824,-74.066946,4
A-GAS US INC, OH,41.39132,-83.67208,10
ALCON RESEARCH LTD., WV,38.46022,-82.3081,2
ARKEMA INC, KY,37.056699,-88.365727,33
BASF CORP - FREEPORT SITE, TX,29.002075,-95.399777,8
BENCHMARK ELECTRONICS, AZ,33.63425,-112.11035,3
BETCO CORP - BG, OH,41.39682,-83.66479,12
BLANCHARD REFINING CO LLC, TX,29.374444,-94.925,3
BOEHRINGER INGELHEIM PHARMACEU T ICALS INC, CT,41.377222,-73.5075,3
BRAINERD CHEMICAL MIDWEST LLC, IL,40.12811,-87.56064,23
BURLINGTON ENVIRONMENTAL LLC, WA,47.270198,-122.391888,1
BUZZI UNICEM USA-CAPE GIRARDEAU, MO,37.2676,-89.5385,6
BUZZI UNICEM USA-GREENCASTLE PLANT, IN,39.616615,-86.868632,9
BYK USA INC., CT,41.37724,-72.88096,2
CARRIER VIBRATING EQUIPMENT, KY,38.157281,-85.714477,2
CHAMPIONX-SCOTT, LA,30.25413,-92.05644,1
CHEMICAL WASTE MANAGEMENT, AL,32.804207,-88.312353,54
CHEMICAL WASTE MANAGEMENT - LA KE CHARLES FACILITY, LA,30.12044,-93.40128,15
CHEMICAL WASTE MANAGEMENT INC, CA,35.95943,-120.00865,1
CHEMICAL WASTE MANAGEMENT OF THE NORTHWEST INC., OR,45.61513,-120.23382,14
CHEMOURS CHAMBERS WORKS, NJ,39.682362,-75.491379,41
CHEMOURS CO - FAYETTEVILLE WORKS, NC,34.8419,-78.8388,39
CHEMOURS PARLIN FACILITY, NJ,40.456303,-74.335961,9
CHEMOURS WASHINGTON WORKS, WV,39.271944,-81.661667,92
CHEMTALL INCORPORATED; FLOCRYL LLC, GA,31.743668,-81.431776,1
CLEAN HARBORS ARAGONITE LLC, UT,40.7344,-112.9681,23
CLEAN HARBORS DEER PARK LLC, TX,29.73028,-95.08981,25
CLEAN HARBORS EL DORADO LLC, AR,33.2044,-92.6308,52
CLEAN HARBORS ENVIRONMENTAL SERVICES INC, NE,41.154424,-103.659,28
COFFEYVILLE RESOURCES NITROGEN FERTILIZERS LLC, KS,37.04536,-95.60517,2
COFFEYVILLE RESOURCES REFINING & MARKETING, KS,37.047556,-95.606106,2
COOK COMPRESSION LLC, IN,38.33585,-85.68655,18
COVESTRO NEWARK COMPOUNDING FACILITY, OH,39.97221,-82.47312,4
COVIDIEN LP, CT,41.3383,-72.8701,8
CYCLE CHEM INC., NJ,40.64451,-74.19434,3
DAIKIN AMERICA INC, AL,34.630486,-87.039444,63
DASSAULT FALCON JET CORP., AR,34.736629,-92.231876,4
DUPONT SPECIALTY PRODUCTS USA LLC -  CHAMBERS WORKS, NJ,39.682362,-75.491379,40
DUPONT WASHINGTON WORKS, WV,39.26944,-81.66999,16
EPPENDORF MANUFACTURING CORP, CT,41.98166,-72.57338,1
EQ DETROIT INC, MI,42.36591,-83.04774,4
EXFLUOR RESEARCH, TX,30.490938,-97.645009,14
FORT RECOVERY INDUSTRIES INC, OH,40.41943,-84.78466,2
FUJIFILM MANUFACTURING USA INC., SC,34.24001,-82.0654,3
GIANT CEMENT CO, SC,33.242778,-80.442222,9
GLEN-GERY CORP - PITTSBURGH PLANT, PA,40.559779,-79.840228,3
GOODWIN CO, CA,33.783,-118.0058,12
GUIDANT PR BV, PR,18.464722,-66.270556,2
HERITAGE THERMAL SERVICES, OH,40.631622,-80.54632,44
HONEYWELL INTERNATIONAL INC GEISMAR PLANT, LA,30.2219,-91.0515,83
HONEYWELL INTERNATIONAL INC-BATON ROUGE PLANT, LA,30.474444,-91.183056,29
HUDSON TECHNOLOGIES CO, CA,34.041144,-117.64051,10
HUDSON TECHNOLOGIES CO, GA,33.83123,-84.46572,16
HUDSON TECHNOLOGIES CO, IL,40.15646,-88.27708,28
HUDSON TECHNOLOGIES CO, TN,36.1259,-86.74233,3
HYDRITE CHEMICAL CO., WI,43.0777,-89.1976,1
HYDRODEC OF N.A. LLC, OH,40.784591,-81.351888,2
ICOR INTERNATIONAL INC, IN,39.86311,-85.97899,3
ILLINOIS TOOL WORKS CONTAMINATION CONTROL ELECTRONICS, GA,33.991885,-84.612436,4
INNOVATIVE CHEMICAL TECHNOLOGIES INC, GA,34.14582,-84.82934,9
ISLECHEM LLC D.B.A. ACTYLIS BUFFALO, NY,43.04848,-78.99699,1
KCB CONSTRUCTION LLC DBA VENETIAN MARBLE & GRANITE, TX,29.56473,-98.66179,2
KINPAK INC, AL,32.39896,-86.23036,2
LOUISVILLE PACKAGING, KY,38.141228,-85.754515,23
"LYMTAL INTERNATIONAL,INC.", MI,42.71925,-83.24279,84
MACDERMID ENTHONE INC, CT,41.2647,-72.9773,12
MDA MANUFACTURING INC, AL,34.630486,-87.039444,20
MEDTRONIC XOMED LLC, FL,30.25348,-81.59162,2
MINUTEMAN INTERNATIONAL MULTI-CLEAN DIV, MN,45.04857,-93.12485,2
MYLAN TECHNOLOGIES, VT,44.800902,-73.101923,1
NATIONAL REFRIGERANTS INC., NJ,39.481713,-75.122464,14
NEXEO SOLUTIONS LLC-CLEARFIELD, UT,41.105,-112.0336,1
OMNOVA SOLUTIONS INC., SC,34.695556,-81.196667,2
ORTEC INC, SC,34.834611,-82.623583,7
PALL CORP, FL,30.521601,-87.200404,9
PLAZE INC, MO,38.36014,-90.98996,7
REDLAND BRICK INC CUSHWA PLANT, MD,39.6054,-77.82408,3
REDLAND BRICK INC- KF PLANT, CT,41.842692,-72.599488,3
RICHMOND AUTO PARTS TECHNOLOGY, KY,37.697926,-84.271982,1
ROSS INCINERATION SERVICES INC, OH,41.324167,-82.034722,7
SHAMROCK TECHNOLOGIES, KY,37.80407,-87.63694,2
SIVANCE LLC, FL,29.70678,-82.265114,2
SOPUS PRODUCTS, TX,29.73252,-95.22322,1
SOUTHERN INDUSTRIAL CHEMICALS INC., GA,33.7955,-84.43239,1
SURPASS CHEMICAL CO. INC., NY,42.67421,-73.73681,4
TECHSPRAY LP, TX,35.215278,-101.84722,4
THE CHEMOURS CO, TX,27.875556,-97.244722,70
TM DEER PARK SERVICES LP, TX,29.73427,-95.08986,22
U.S. ARMY RED RIVER ARMY DEPOT, TX,33.452402,-94.315567,1
U.S. BUREAU OF PRISONS  FCI SCHUYLKILL, PA,40.733324,-76.344359,2
U.S. DOD DFSP CHARLESTON, SC,32.91318,-79.98589,1
US ARMY FORT CAMPBELL, KY,36.651306,-87.466933,1
US COAST GUARD BASE ALAMEDA, CA,37.77999,-122.24601,1
US DEFENSE LOGISTICS AGENCY DEFENSE SUPPLY CENTER RICHMOND, VA,37.414833,-77.435833,12
US ECOLOGY IDAHO INC., ID,43.0635,-116.26375,12
US ECOLOGY NEVADA INC., NV,36.767649,-116.69368,14
US ECOLOGY TEXAS INC, TX,27.73076,-97.65202,2
US ECOLOGY TULSA INC, OK,36.122414,-96.020344,1
US ENRICHMENT CORP PADUCAH GASEOUS DIFFUSION PLANT, KY,37.114444,-88.809167,2
US NAVY NAS WHIDBEY ISLAND AULT FIELD, WA,48.348092,-122.661924,1
VALICOR ENVIRONMENTAL SERVICES LLC, OH,39.74158,-84.29332,1
VEOLIA ES TECHNICAL SOLUTIONS LLC PORT ARTHUR FACILITY, TX,29.853056,-94.095278,62
VICKERY ENVIRONMENTAL INC., OH,41.36826,-82.98319,2
WAYNE DISPOSAL INC, MI,42.21917,-83.522691,5
WHISK PRODUCTS INC, MO,38.82058,-90.8351,4
WYOMING REFINING CO, WY,43.85126,-104.21486,6
